,userFollowerCount,userFollowingCount,userBiographyLength,userMediaCount,userHasProfilPic,userIsPrivate,usernameDigitCount,usernameLength,isFake,Follower_to_Following_ratio
0,258,238,0,0,1,0,0,10,0,1.084033613445378
1,263,482,30,29,1,1,0,8,0,0.5456431535269709
2,51,78,9,0,1,1,0,10,0,0.6538461538461539
3,297,480,22,25,1,1,2,9,0,0.61875
4,113,242,0,95,1,1,0,10,0,0.4669421487603306
5,545,995,26,340,1,1,0,8,0,0.5477386934673367
6,52,121,0,30,1,1,0,9,0,0.4297520661157025
7,1038,6640,0,156,1,0,0,12,0,0.15632530120481927
8,172,227,51,10,1,0,0,10,0,0.7577092511013216
9,101,114,14,4,1,1,0,15,0,0.8859649122807017
10,250,247,31,4,1,0,0,7,0,1.0121457489878543
11,413,677,0,38,1,1,0,15,0,0.6100443131462334
12,172,187,1,7,1,1,0,10,0,0.9197860962566845
13,337,455,0,2,1,1,0,14,0,0.7406593406593407
14,114,155,29,8,1,1,2,12,0,0.7354838709677419
15,174,165,0,76,1,1,1,9,0,1.0545454545454545
16,372,362,36,13,1,1,0,7,0,1.0276243093922652
17,338,330,41,17,1,0,0,12,0,1.0242424242424242
18,2207,593,47,198,1,0,0,15,0,3.721753794266442
19,449,410,19,19,1,1,0,8,0,1.0951219512195123
20,594,863,105,276,1,1,0,9,0,0.6882966396292005
21,679,764,23,39,1,1,0,11,0,0.8887434554973822
22,569,539,41,95,1,1,0,11,0,1.0556586270871986
23,540,543,0,73,1,1,0,12,0,0.994475138121547
24,441,368,25,30,1,1,0,8,0,1.1983695652173914
25,570,455,37,120,1,1,0,10,0,1.2527472527472527
26,368,1114,16,69,1,0,0,8,0,0.3303411131059246
27,634,648,59,21,1,0,0,9,0,0.9783950617283951
28,687,539,18,78,1,0,0,9,0,1.274582560296846
29,579,413,36,221,1,0,0,11,0,1.4019370460048426
30,752,726,0,312,1,1,0,12,0,1.0358126721763086
31,861,686,0,323,1,0,0,9,0,1.2551020408163265
32,535,368,122,49,1,1,0,18,0,1.453804347826087
33,1872,1806,39,374,1,1,0,11,0,1.0365448504983388
34,257,149,33,39,1,0,0,7,0,1.7248322147651007
35,3140,496,63,807,1,1,0,5,0,6.330645161290323
36,491,745,0,373,1,1,3,16,0,0.6590604026845638
37,434,528,23,93,1,1,0,9,0,0.821969696969697
38,1073,837,0,49,1,1,0,14,0,1.2819593787335724
39,1532,1431,57,313,1,1,0,11,0,1.0705800139762405
40,737,875,87,53,1,0,0,10,0,0.8422857142857143
41,335,353,26,2,1,1,0,14,0,0.9490084985835694
42,399,364,47,9,1,1,0,16,0,1.0961538461538463
43,310,330,0,0,1,1,1,5,0,0.9393939393939394
44,392,379,21,8,1,0,0,13,0,1.0343007915567282
45,163,186,0,0,1,1,0,8,0,0.8763440860215054
46,642,707,8,10,1,1,0,12,0,0.9080622347949081
47,594,800,28,21,1,1,0,12,0,0.7425
48,295,302,11,2,1,1,0,11,0,0.9768211920529801
49,377,539,76,40,1,0,0,11,0,0.699443413729128
50,345,393,0,2,1,1,0,8,0,0.8778625954198473
51,667,660,0,20,1,1,0,7,0,1.0106060606060605
52,347,610,44,14,1,1,2,14,0,0.5688524590163935
53,340,378,27,9,1,1,0,12,0,0.8994708994708994
54,1136,976,110,188,1,1,0,10,0,1.1639344262295082
55,206,201,10,16,1,1,0,9,0,1.0248756218905473
56,873,913,66,52,1,1,1,15,0,0.9561883899233297
57,289,224,59,10,1,1,0,16,0,1.2901785714285714
58,510,594,0,25,1,1,0,11,0,0.8585858585858586
59,804,648,2,29,1,1,0,13,0,1.2407407407407407
60,542,531,41,78,1,1,0,14,0,1.0207156308851224
61,516,555,57,39,1,1,0,12,0,0.9297297297297298
62,472,431,32,59,1,1,0,9,0,1.0951276102088168
63,138,124,10,2,1,1,0,13,0,1.1129032258064515
64,201,317,79,14,1,1,0,8,0,0.6340694006309149
65,234,242,4,11,1,1,0,11,0,0.9669421487603306
66,302,306,27,37,1,1,0,11,0,0.9869281045751634
67,586,779,0,88,1,0,0,9,0,0.7522464698331194
68,260,410,0,3,1,1,0,7,0,0.6341463414634146
69,377,508,0,25,1,1,0,10,0,0.7421259842519685
70,561,508,45,114,1,0,0,9,0,1.1043307086614174
71,720,643,16,93,1,1,0,13,0,1.119751166407465
72,413,677,0,38,1,1,0,15,0,0.6100443131462334
73,415,416,67,45,1,1,0,9,0,0.9975961538461539
74,247,289,35,70,1,1,0,14,0,0.8546712802768166
75,321,391,0,1,1,1,0,12,0,0.8209718670076727
76,847,652,6,83,1,0,0,7,0,1.299079754601227
77,312,323,22,12,1,1,0,7,0,0.9659442724458205
78,535,426,13,60,1,0,0,12,0,1.255868544600939
79,323,326,28,8,1,1,0,9,0,0.99079754601227
80,521,1282,0,156,1,1,0,13,0,0.40639625585023403
81,258,286,24,5,1,1,0,9,0,0.9020979020979021
82,306,329,128,11,1,1,0,9,0,0.9300911854103343
83,256,307,6,12,1,1,0,11,0,0.8338762214983714
84,346,303,14,16,1,0,0,11,0,1.141914191419142
85,300,267,15,22,1,0,0,10,0,1.1235955056179776
86,230,230,8,2,1,1,0,12,0,1.0
87,516,538,10,20,1,1,0,14,0,0.9591078066914498
88,257,254,76,26,1,1,0,7,0,1.0118110236220472
89,334,411,40,21,1,0,0,16,0,0.8126520681265207
90,195,396,27,31,1,1,0,14,0,0.49242424242424243
91,740,940,53,483,1,1,0,9,0,0.7872340425531915
92,340,343,0,8,1,1,0,11,0,0.9912536443148688
93,404,461,0,1,1,0,0,15,0,0.8763557483731019
94,197,320,0,9,1,1,0,10,0,0.615625
95,474,410,74,33,1,1,0,14,0,1.1560975609756097
96,213,153,19,209,1,1,0,8,0,1.392156862745098
97,936,706,35,61,1,1,1,16,0,1.3257790368271956
98,207,196,0,7,1,1,0,11,0,1.0561224489795917
99,77,92,0,0,1,1,0,10,0,0.8369565217391305
100,453,528,24,75,1,1,0,15,0,0.8579545454545454
101,293,339,12,92,1,1,0,10,0,0.8643067846607669
102,473,497,8,16,1,1,0,12,0,0.9517102615694165
103,379,436,7,56,1,1,0,12,0,0.8692660550458715
104,642,776,85,236,1,1,4,15,0,0.8273195876288659
105,350,393,26,19,1,1,0,8,0,0.8905852417302799
106,167,184,33,10,1,1,2,10,0,0.907608695652174
107,301,444,81,60,1,1,0,6,0,0.6779279279279279
108,536,504,74,134,1,1,0,15,0,1.0634920634920635
109,374,311,0,23,1,1,0,10,0,1.202572347266881
110,342,343,50,56,1,1,2,6,0,0.9970845481049563
111,673,587,41,11,1,1,0,11,0,1.1465076660988074
112,426,486,60,110,1,0,0,12,0,0.8765432098765432
113,593,923,13,34,1,1,0,9,0,0.6424702058504875
114,313,280,0,13,1,0,0,15,0,1.1178571428571429
115,292,447,0,47,1,1,0,10,0,0.6532438478747203
116,95,106,0,0,1,1,0,7,0,0.8962264150943396
117,186,217,14,5,1,0,0,12,0,0.8571428571428571
118,275,602,43,25,1,1,0,8,0,0.4568106312292359
119,96,174,0,1,0,1,0,15,0,0.5517241379310345
120,322,1496,0,53,0,1,4,10,0,0.21524064171122995
121,371,376,0,3,1,1,0,6,0,0.9867021276595744
122,153,180,17,6,1,1,0,11,0,0.85
123,585,576,0,43,1,1,0,12,0,1.015625
124,486,578,0,3,1,0,4,17,0,0.8408304498269896
125,402,524,3,79,1,1,0,8,0,0.767175572519084
126,527,527,25,10,1,1,4,10,0,1.0
127,237,283,0,0,1,1,0,10,0,0.8374558303886925
128,321,330,32,8,1,1,0,6,0,0.9727272727272728
129,274,267,19,3,1,1,0,10,0,1.0262172284644195
130,262,522,0,11,1,0,2,11,0,0.5019157088122606
131,109,115,0,0,1,1,0,18,0,0.9478260869565217
132,425,477,4,137,1,1,0,11,0,0.8909853249475891
133,36,315,10,0,1,0,0,11,0,0.11428571428571428
134,1206,962,0,141,1,1,0,11,0,1.2536382536382535
135,156,199,42,2,1,0,0,11,0,0.7839195979899497
136,284,361,45,41,1,1,0,19,0,0.7867036011080333
137,225,446,0,53,1,0,0,11,0,0.5044843049327354
138,346,390,14,8,1,1,0,9,0,0.8871794871794871
139,339,378,61,1,1,1,0,15,0,0.8968253968253969
140,760,577,20,15,1,0,0,9,0,1.317157712305026
141,218,221,10,8,1,1,0,15,0,0.9864253393665159
142,319,328,23,6,1,1,0,11,0,0.9725609756097561
143,507,493,59,25,1,1,0,12,0,1.028397565922921
144,562,691,18,21,1,1,0,12,0,0.8133140376266281
145,524,510,0,18,1,1,0,9,0,1.0274509803921568
146,252,579,0,0,1,1,0,14,0,0.43523316062176165
147,181,199,0,3,0,1,1,21,0,0.9095477386934674
148,182,188,19,24,1,1,0,7,0,0.9680851063829787
149,777,582,22,29,1,0,0,13,0,1.3350515463917525
150,257,281,17,11,1,1,0,8,0,0.9145907473309609
151,109,104,22,20,1,0,0,13,0,1.0480769230769231
152,127,142,0,6,1,1,0,13,0,0.8943661971830986
153,611,412,139,12,1,1,0,13,0,1.483009708737864
154,136,365,0,19,1,1,0,14,0,0.3726027397260274
155,264,265,34,4,1,1,0,10,0,0.9962264150943396
156,447,387,12,31,1,1,0,12,0,1.1550387596899225
157,225,256,0,1,1,1,0,10,0,0.87890625
158,278,672,25,21,1,1,0,15,0,0.41369047619047616
159,152,221,0,117,1,0,0,11,0,0.6877828054298643
160,616,718,0,35,1,1,0,12,0,0.8579387186629527
161,357,369,65,6,1,1,0,11,0,0.967479674796748
162,38,158,0,1,0,1,0,14,0,0.24050632911392406
163,199,197,74,6,1,0,0,10,0,1.0101522842639594
164,452,385,49,172,1,0,0,6,0,1.174025974025974
165,265,312,93,53,1,1,0,9,0,0.8493589743589743
166,485,510,115,24,1,1,0,13,0,0.9509803921568627
167,247,236,1,12,1,1,0,12,0,1.0466101694915255
168,696,769,30,11,1,0,3,16,0,0.9050715214564369
169,342,286,35,18,1,1,0,13,0,1.1958041958041958
170,189,272,0,8,1,1,0,12,0,0.6948529411764706
171,487,788,44,43,1,1,0,8,0,0.618020304568528
172,68,75,0,17,1,0,0,15,0,0.9066666666666666
173,354,363,10,40,1,0,0,11,0,0.9752066115702479
174,334,499,34,30,1,1,0,12,0,0.6693386773547094
175,304,321,32,23,1,1,0,11,0,0.9470404984423676
176,226,248,42,19,1,0,0,6,0,0.9112903225806451
177,265,319,21,58,1,1,0,11,0,0.8307210031347962
178,527,498,40,42,1,1,1,11,0,1.0582329317269077
179,327,524,0,24,1,1,0,13,0,0.6240458015267175
180,173,195,4,0,1,1,0,14,0,0.8871794871794871
181,254,907,0,34,1,1,0,13,0,0.28004410143329656
182,233,280,0,23,1,0,0,7,0,0.8321428571428572
183,210,220,0,1,1,1,0,10,0,0.9545454545454546
184,651,722,51,136,1,1,0,12,0,0.9016620498614959
185,237,249,0,36,1,1,0,11,0,0.9518072289156626
186,204,445,118,92,1,1,0,8,0,0.4584269662921348
187,268,388,0,3,1,1,0,8,0,0.6907216494845361
188,293,438,46,45,1,1,0,6,0,0.6689497716894978
189,345,332,19,167,1,1,0,14,0,1.0391566265060241
190,1725,1466,135,245,1,1,0,17,0,1.1766712141882674
191,311,351,0,63,1,0,0,11,0,0.886039886039886
192,224,308,23,59,1,1,0,16,0,0.7272727272727273
193,245,395,0,10,1,1,0,8,0,0.620253164556962
194,582,828,0,43,1,1,0,16,0,0.7028985507246377
195,447,572,83,120,1,1,0,15,0,0.7814685314685315
196,165,205,6,0,1,0,0,8,0,0.8048780487804879
197,187,207,9,16,1,1,0,9,0,0.9033816425120773
198,334,234,0,16,1,1,0,12,0,1.4273504273504274
199,613,555,27,121,1,1,0,11,0,1.1045045045045045
200,278,265,0,155,1,0,0,9,0,1.049056603773585
201,277,175,0,65,1,0,0,9,0,1.582857142857143
202,107,260,0,0,1,1,0,13,0,0.4115384615384615
203,735,665,44,19,1,1,0,11,0,1.105263157894737
204,242,299,39,23,1,1,0,11,0,0.8093645484949833
205,209,216,19,14,1,1,0,13,0,0.9675925925925926
206,253,303,0,7,1,1,0,9,0,0.834983498349835
207,305,322,4,49,1,0,0,13,0,0.9472049689440993
208,105,167,0,0,1,1,0,7,0,0.6287425149700598
209,371,357,78,19,1,1,0,12,0,1.0392156862745099
210,378,422,21,31,1,1,0,12,0,0.8957345971563981
211,384,219,51,11,1,1,0,12,0,1.7534246575342465
212,848,959,0,225,1,0,0,8,0,0.8842544316996872
213,143,233,0,1,1,1,0,13,0,0.6137339055793991
214,334,870,0,28,1,1,0,13,0,0.3839080459770115
215,590,801,43,76,1,0,2,13,0,0.7365792759051186
216,274,403,30,122,1,1,0,10,0,0.6799007444168734
217,179,347,0,25,1,0,2,5,0,0.515850144092219
218,116,187,0,0,1,1,0,12,0,0.6203208556149733
219,235,186,30,9,1,1,0,16,0,1.2634408602150538
220,222,248,0,40,1,1,0,13,0,0.8951612903225806
221,290,289,0,76,1,1,0,9,0,1.0034602076124568
222,349,427,13,14,1,1,4,12,0,0.8173302107728337
223,224,234,13,7,1,1,0,10,0,0.9572649572649573
224,550,502,19,108,1,1,0,13,0,1.095617529880478
225,118,92,0,3,1,1,0,8,0,1.2826086956521738
226,320,457,14,1,1,0,0,8,0,0.700218818380744
227,684,592,11,49,1,1,0,11,0,1.1554054054054055
228,477,474,0,0,0,1,0,9,0,1.0063291139240507
229,268,348,43,21,1,0,0,11,0,0.7701149425287356
230,303,418,115,92,1,1,0,13,0,0.7248803827751196
231,185,486,7,0,1,1,0,9,0,0.38065843621399176
232,347,407,66,11,1,1,0,17,0,0.8525798525798526
233,340,806,0,18,1,0,0,13,0,0.4218362282878412
234,350,385,0,63,1,1,0,8,0,0.9090909090909091
235,391,314,3,17,1,0,0,12,0,1.2452229299363058
236,404,454,9,26,1,1,0,11,0,0.8898678414096917
237,679,666,115,54,1,1,0,7,0,1.0195195195195195
238,236,338,21,23,1,1,0,11,0,0.6982248520710059
239,898,624,150,141,1,1,0,15,0,1.439102564102564
240,489,473,8,86,1,0,4,9,0,1.0338266384778012
241,379,386,0,31,1,0,0,11,0,0.9818652849740933
242,316,317,110,101,1,1,0,7,0,0.9968454258675079
243,473,614,5,99,1,0,0,13,0,0.7703583061889251
244,146,163,69,63,1,1,0,9,0,0.8957055214723927
245,256,338,36,39,1,1,0,10,0,0.757396449704142
246,1035,828,0,24,1,0,0,10,0,1.25
247,326,654,146,155,1,1,0,8,0,0.4984709480122324
248,342,371,43,15,1,1,0,11,0,0.921832884097035
249,531,686,0,41,1,1,0,9,0,0.7740524781341108
250,488,569,0,34,1,1,0,9,0,0.8576449912126538
251,1218,351,35,15,1,0,0,10,0,3.47008547008547
252,403,388,0,23,1,1,0,11,0,1.038659793814433
253,393,372,25,7,1,0,0,9,0,1.0564516129032258
254,505,382,9,4,1,1,0,11,0,1.3219895287958114
255,181,186,0,8,1,1,0,11,0,0.9731182795698925
256,319,319,46,138,1,1,0,11,0,1.0
257,561,737,0,66,1,1,0,9,0,0.7611940298507462
258,283,355,0,140,1,1,0,8,0,0.7971830985915493
259,384,469,42,71,1,1,0,11,0,0.8187633262260128
260,446,496,0,62,1,1,0,7,0,0.8991935483870968
261,208,310,9,440,1,1,0,10,0,0.6709677419354839
262,1123,1162,130,428,1,1,0,12,0,0.9664371772805508
263,283,442,6,36,1,1,0,8,0,0.6402714932126696
264,682,762,11,114,1,1,0,7,0,0.89501312335958
265,460,459,41,23,1,1,0,12,0,1.0021786492374727
266,461,440,25,115,1,1,0,10,0,1.0477272727272726
267,725,733,35,91,1,1,0,13,0,0.9890859481582538
268,132,345,0,33,1,1,0,6,0,0.3826086956521739
269,424,499,50,38,1,1,0,7,0,0.8496993987975952
270,321,306,18,102,1,1,0,9,0,1.0490196078431373
271,584,653,34,88,1,1,0,9,0,0.8943338437978561
272,589,601,58,58,1,1,0,13,0,0.9800332778702163
273,620,623,0,161,1,1,0,9,0,0.9951845906902087
274,1500,1446,103,132,1,1,0,14,0,1.037344398340249
275,213,235,42,32,1,1,1,13,0,0.9063829787234042
276,376,437,116,33,1,1,0,9,0,0.8604118993135011
277,150,256,98,28,1,1,0,15,0,0.5859375
278,351,381,35,25,1,0,0,10,0,0.9212598425196851
279,414,440,14,71,1,0,0,9,0,0.9409090909090909
280,473,397,35,28,1,1,0,16,0,1.1914357682619647
281,521,860,0,262,1,1,0,7,0,0.6058139534883721
282,230,358,0,26,1,0,0,10,0,0.6424581005586593
283,350,426,30,24,1,1,0,12,0,0.8215962441314554
284,376,636,19,60,1,1,0,7,0,0.5911949685534591
285,475,528,0,29,1,1,0,7,0,0.8996212121212122
286,288,276,22,13,1,1,0,12,0,1.0434782608695652
287,515,571,0,4,1,0,0,11,0,0.9019264448336253
288,470,627,61,7,1,1,0,8,0,0.7496012759170654
289,367,416,41,111,1,1,0,7,0,0.8822115384615384
290,252,265,41,4,1,1,0,9,0,0.9509433962264151
291,269,268,0,23,1,1,0,8,0,1.0037313432835822
292,312,453,33,47,1,1,0,9,0,0.6887417218543046
293,370,387,21,22,1,1,0,7,0,0.9560723514211886
294,609,543,23,58,1,1,0,9,0,1.1215469613259668
295,330,433,63,35,1,0,0,15,0,0.7621247113163973
296,649,630,35,67,1,0,0,9,0,1.03015873015873
297,529,589,33,67,1,1,0,13,0,0.8981324278438031
298,348,359,0,21,1,1,0,10,0,0.9693593314763231
299,576,680,135,187,1,1,0,11,0,0.8470588235294118
300,387,382,43,69,1,1,0,8,0,1.013089005235602
301,120,84,25,48,1,1,0,13,0,1.4285714285714286
302,290,517,2,16,1,1,0,10,0,0.5609284332688588
303,522,641,88,171,1,0,0,7,0,0.8143525741029641
304,639,677,17,125,1,1,0,9,0,0.9438700147710487
305,554,561,0,325,1,1,0,12,0,0.9875222816399287
306,230,436,0,36,1,1,0,14,0,0.5275229357798165
307,545,494,22,22,1,1,0,15,0,1.1032388663967612
308,252,509,0,28,1,1,0,11,0,0.4950884086444008
309,420,1097,22,29,1,1,0,10,0,0.3828623518687329
310,2939,595,140,43,1,0,0,13,0,4.939495798319328
311,456,545,82,48,1,1,0,10,0,0.8366972477064221
312,326,784,6,27,1,1,0,12,0,0.41581632653061223
313,241,293,22,16,1,1,0,10,0,0.8225255972696246
314,349,420,0,61,1,1,0,12,0,0.830952380952381
315,367,524,0,47,1,1,0,11,0,0.700381679389313
316,462,682,0,94,1,1,0,10,0,0.6774193548387096
317,202,201,0,21,1,1,0,9,0,1.0049751243781095
318,95,90,0,4,1,1,2,14,0,1.0555555555555556
319,346,318,18,0,1,0,0,12,0,1.0880503144654088
320,603,1233,7,588,1,1,0,7,0,0.48905109489051096
321,386,482,32,48,1,1,0,7,0,0.8008298755186722
322,219,99,87,79,1,0,0,18,0,2.212121212121212
323,99,227,0,117,1,1,0,17,0,0.43612334801762115
324,417,375,6,25,1,1,0,10,0,1.112
325,266,248,33,12,1,0,0,11,0,1.0725806451612903
326,592,108,35,117,1,0,0,9,0,5.481481481481482
327,308,423,0,101,1,1,2,14,0,0.7281323877068558
328,261,102,0,142,1,0,0,8,0,2.5588235294117645
329,571,755,4,16,1,1,0,10,0,0.7562913907284768
330,311,406,0,11,1,1,0,9,0,0.7660098522167488
331,115,143,0,15,1,1,0,7,0,0.8041958041958042
332,623,579,146,83,1,0,0,14,0,1.075993091537133
333,473,794,0,4,1,1,0,8,0,0.5957178841309824
334,575,537,27,44,1,1,0,14,0,1.0707635009310987
335,399,826,54,70,1,1,0,13,0,0.4830508474576271
336,119,116,0,2,1,1,0,15,0,1.0258620689655173
337,260,344,0,99,1,1,0,14,0,0.7558139534883721
338,436,348,57,33,1,0,0,11,0,1.2528735632183907
339,917,591,37,48,1,1,0,8,0,1.5516074450084603
340,153,367,9,72,1,0,0,13,0,0.41689373297002724
341,676,701,0,249,1,1,0,11,0,0.9643366619115549
342,369,430,60,14,1,1,0,14,0,0.858139534883721
343,373,1477,90,25,1,0,0,14,0,0.2525389302640487
344,429,449,0,1,1,0,4,9,0,0.955456570155902
345,234,196,146,66,1,1,2,8,0,1.1938775510204083
346,481,452,93,163,1,0,0,10,0,1.0641592920353982
347,337,296,7,65,1,0,0,13,0,1.1385135135135136
348,208,571,0,11,1,0,0,8,0,0.36427320490367776
349,873,4935,22,30,1,0,0,9,0,0.17689969604863223
350,194,219,14,33,1,1,0,15,0,0.8858447488584474
351,371,442,0,9,1,1,0,16,0,0.8393665158371041
352,83,252,0,40,1,1,0,12,0,0.32936507936507936
353,22,28,0,0,0,1,0,15,0,0.7857142857142857
354,244,263,0,82,1,1,0,11,0,0.9277566539923955
355,134,365,7,59,1,1,0,11,0,0.36712328767123287
356,349,352,15,44,1,1,4,21,0,0.9914772727272727
357,427,509,26,0,1,1,0,12,0,0.8388998035363457
358,60,108,0,49,1,1,1,14,0,0.5555555555555556
359,249,171,0,56,1,1,0,8,0,1.456140350877193
360,378,578,9,61,1,1,0,7,0,0.6539792387543253
361,92,196,3,5,1,1,0,12,0,0.46938775510204084
362,221,224,0,39,1,0,0,14,0,0.9866071428571429
363,66,61,20,0,1,0,0,12,0,1.0819672131147542
364,462,483,32,31,1,1,0,12,0,0.9565217391304348
365,630,755,0,125,1,1,0,10,0,0.8344370860927153
366,126,88,0,2,1,0,0,9,0,1.4318181818181819
367,486,479,20,38,1,1,0,15,0,1.0146137787056368
368,51,48,0,43,1,1,0,8,0,1.0625
369,626,679,48,58,1,1,0,12,0,0.9219440353460973
370,748,996,11,44,1,1,0,13,0,0.751004016064257
371,1058,614,23,52,1,0,0,12,0,1.723127035830619
372,633,661,19,31,1,1,0,10,0,0.9576399394856279
373,207,201,131,75,1,1,2,12,0,1.0298507462686568
374,200,257,20,3,1,1,0,11,0,0.7782101167315175
375,216,268,40,10,1,1,1,10,0,0.8059701492537313
376,911,343,76,411,1,0,0,7,0,2.6559766763848396
377,199,209,107,49,1,1,0,10,0,0.9521531100478469
378,658,604,8,27,1,1,0,7,0,1.0894039735099337
379,409,504,32,3,1,1,0,20,0,0.8115079365079365
380,158,209,0,5,1,1,0,7,0,0.7559808612440191
381,872,772,0,174,1,0,0,11,0,1.1295336787564767
382,203,250,53,131,1,1,0,8,0,0.812
383,93,51,0,1,1,1,0,10,0,1.8235294117647058
384,66,84,0,1,1,1,0,10,0,0.7857142857142857
385,422,377,18,17,1,0,0,13,0,1.1193633952254642
386,106,115,0,8,1,1,0,8,0,0.9217391304347826
387,238,100,10,100,1,1,0,11,0,2.38
388,325,523,0,84,1,1,0,17,0,0.621414913957935
389,278,458,42,85,1,1,0,14,0,0.6069868995633187
390,1817,758,2,115,1,1,0,14,0,2.3970976253298155
391,70,78,0,9,1,0,0,20,0,0.8974358974358975
392,788,664,24,383,1,0,0,11,0,1.1867469879518073
393,522,856,139,216,1,0,0,11,0,0.6098130841121495
